index,City,Date,Card Type,Exp Type,Gender,Amount,Year,Month
5375,"Delhi, India",25-08-2014,Silver,Entertainment,M,148690,2014,August
5376,"Ahmedabad, India",12-01-2014,Gold,Entertainment,M,229828,2014,January
5377,"Delhi, India",09-12-2014,Signature,Food,M,164737,2014,December
5378,"Greater Mumbai, India",08-12-2014,Platinum,Grocery,M,190142,2014,December
5379,"Bengaluru, India",28-12-2013,Gold,Food,M,287542,2013,December
5380,"Greater Mumbai, India",08-06-2014,Signature,Bills,M,137778,2014,June
5381,"Delhi, India",10-05-2014,Gold,Entertainment,M,143158,2014,May
5382,"Greater Mumbai, India",05-01-2014,Signature,Bills,F,49523,2014,January
5383,"Ahmedabad, India",28-04-2015,Platinum,Bills,M,114982,2015,April
5384,"Bengaluru, India",17-03-2015,Signature,Entertainment,M,179755,2015,March
5385,"Ahmedabad, India",01-12-2013,Platinum,Bills,F,190943,2013,December
5386,"Bengaluru, India",02-08-2014,Platinum,Grocery,F,133270,2014,August
5387,"Bengaluru, India",17-05-2015,Platinum,Grocery,F,278444,2015,May
5388,"Bengaluru, India",04-05-2014,Silver,Entertainment,F,76216,2014,May
5389,"Greater Mumbai, India",16-02-2014,Signature,Fuel,F,82924,2014,February
5390,"Bengaluru, India",28-04-2014,Gold,Bills,F,79125,2014,April
5391,"Greater Mumbai, India",15-03-2014,Signature,Entertainment,F,245169,2014,March
5392,"Delhi, India",24-07-2014,Silver,Bills,F,205940,2014,July
5393,"Ahmedabad, India",07-02-2014,Platinum,Food,F,104816,2014,February
5394,"Ahmedabad, India",12-05-2014,Platinum,Entertainment,F,7460,2014,May
5395,"Bengaluru, India",28-03-2015,Gold,Food,M,75859,2015,March
5396,"Delhi, India",16-12-2014,Gold,Bills,F,88457,2014,December
5397,"Ahmedabad, India",15-05-2015,Silver,Grocery,F,98814,2015,May
5398,"Ahmedabad, India",24-04-2015,Platinum,Bills,F,91320,2015,April
5399,"Ahmedabad, India",07-01-2015,Platinum,Grocery,F,121503,2015,January
5400,"Greater Mumbai, India",16-12-2014,Platinum,Food,M,119817,2014,December
5401,"Delhi, India",26-08-2014,Signature,Bills,F,49676,2014,August
5402,"Ahmedabad, India",16-12-2013,Silver,Fuel,M,60266,2013,December
5403,"Ahmedabad, India",03-03-2014,Silver,Grocery,M,252859,2014,March
5404,"Delhi, India",05-11-2013,Gold,Entertainment,M,135165,2013,November
5405,"Bengaluru, India",24-04-2015,Platinum,Entertainment,F,176742,2015,April
5406,"Delhi, India",31-05-2014,Silver,Fuel,M,70308,2014,May
5407,"Ahmedabad, India",01-03-2014,Silver,Entertainment,F,67253,2014,March
5408,"Greater Mumbai, India",15-10-2014,Platinum,Entertainment,M,123744,2014,October
5409,"Greater Mumbai, India",26-04-2014,Gold,Fuel,M,216295,2014,April
5410,"Bengaluru, India",07-11-2014,Gold,Grocery,F,299920,2014,November
5411,"Greater Mumbai, India",26-09-2014,Signature,Entertainment,M,208640,2014,September
5412,"Bengaluru, India",09-03-2014,Gold,Food,F,169681,2014,March
5413,"Ahmedabad, India",05-11-2013,Platinum,Entertainment,F,244384,2013,November
5414,"Ahmedabad, India",15-08-2014,Silver,Grocery,M,256534,2014,August
5415,"Bengaluru, India",26-12-2014,Platinum,Fuel,F,230798,2014,December
5416,"Greater Mumbai, India",18-10-2014,Gold,Food,F,216961,2014,October
5417,"Greater Mumbai, India",10-03-2014,Silver,Grocery,F,86778,2014,March
5418,"Greater Mumbai, India",24-03-2014,Signature,Bills,F,168061,2014,March
5419,"Greater Mumbai, India",18-09-2014,Gold,Entertainment,M,225892,2014,September
5420,"Delhi, India",31-10-2013,Gold,Grocery,F,166138,2013,October
5421,"Greater Mumbai, India",06-10-2014,Signature,Food,M,76550,2014,October
5422,"Delhi, India",10-10-2014,Gold,Food,M,26285,2014,October
5423,"Delhi, India",22-04-2014,Silver,Grocery,F,130604,2014,April
5424,"Ahmedabad, India",06-11-2013,Gold,Food,M,151934,2013,November
5425,"Bengaluru, India",11-01-2015,Platinum,Food,M,119832,2015,January
5426,"Bengaluru, India",03-05-2015,Silver,Food,F,98571,2015,May
5427,"Bengaluru, India",11-11-2013,Platinum,Grocery,F,177645,2013,November
5428,"Bengaluru, India",13-12-2014,Gold,Grocery,M,64885,2014,December
5429,"Ahmedabad, India",20-06-2014,Silver,Grocery,F,218942,2014,June
5430,"Greater Mumbai, India",03-09-2014,Signature,Grocery,M,143938,2014,September
5431,"Bengaluru, India",15-04-2015,Gold,Entertainment,M,95120,2015,April
5432,"Greater Mumbai, India",20-04-2015,Signature,Food,F,50736,2015,April
5433,"Ahmedabad, India",15-05-2014,Gold,Bills,F,269192,2014,May
5434,"Delhi, India",15-09-2014,Gold,Food,M,184935,2014,September
5435,"Delhi, India",17-10-2014,Platinum,Fuel,F,218760,2014,October
5436,"Greater Mumbai, India",12-10-2013,Gold,Food,F,45191,2013,October
5437,"Ahmedabad, India",20-04-2014,Silver,Entertainment,F,49660,2014,April
5438,"Bengaluru, India",25-12-2013,Silver,Fuel,F,49988,2013,December
5439,"Greater Mumbai, India",18-06-2014,Signature,Grocery,M,103572,2014,June
5440,"Bengaluru, India",20-09-2014,Platinum,Bills,F,248257,2014,September
5441,"Bengaluru, India",25-10-2014,Platinum,Food,M,288269,2014,October
5442,"Greater Mumbai, India",02-03-2015,Platinum,Food,F,170297,2015,March
5443,"Delhi, India",09-10-2013,Gold,Food,F,295917,2013,October
5444,"Greater Mumbai, India",12-11-2014,Platinum,Fuel,M,50416,2014,November
5445,"Delhi, India",06-10-2013,Signature,Food,F,156519,2013,October
5446,"Ahmedabad, India",30-11-2013,Platinum,Bills,M,122906,2013,November
5447,"Ahmedabad, India",08-04-2014,Signature,Entertainment,F,231969,2014,April
5448,"Bengaluru, India",21-10-2013,Gold,Bills,F,290022,2013,October
5449,"Delhi, India",18-03-2015,Platinum,Food,F,63691,2015,March
5450,"Greater Mumbai, India",06-06-2014,Silver,Fuel,F,193602,2014,June
5451,"Ahmedabad, India",03-04-2014,Gold,Fuel,F,176859,2014,April
5452,"Delhi, India",17-02-2015,Gold,Entertainment,M,196037,2015,February
5453,"Ahmedabad, India",16-08-2014,Gold,Grocery,M,246068,2014,August
5454,"Greater Mumbai, India",01-12-2014,Silver,Grocery,M,28122,2014,December
5455,"Ahmedabad, India",07-01-2015,Silver,Entertainment,M,170937,2015,January
5456,"Ahmedabad, India",06-10-2014,Gold,Bills,M,127798,2014,October
5457,"Ahmedabad, India",08-01-2014,Signature,Fuel,M,282235,2014,January
5458,"Delhi, India",23-12-2014,Gold,Food,M,40837,2014,December
5459,"Bengaluru, India",28-10-2013,Platinum,Food,M,222217,2013,October
5460,"Bengaluru, India",20-04-2014,Silver,Food,M,253161,2014,April
5461,"Ahmedabad, India",02-10-2014,Signature,Food,M,76255,2014,October
5462,"Ahmedabad, India",19-07-2014,Platinum,Entertainment,F,123724,2014,July
5463,"Greater Mumbai, India",20-10-2014,Signature,Bills,F,172093,2014,October
5464,"Ahmedabad, India",02-05-2014,Signature,Grocery,M,93499,2014,May
5465,"Ahmedabad, India",22-02-2014,Silver,Fuel,F,31353,2014,February
5466,"Greater Mumbai, India",24-10-2014,Silver,Fuel,F,205830,2014,October
5467,"Ahmedabad, India",06-08-2014,Gold,Entertainment,M,223444,2014,August
5468,"Greater Mumbai, India",23-12-2013,Silver,Food,M,218498,2013,December
5469,"Delhi, India",10-03-2014,Signature,Entertainment,M,8844,2014,March
5470,"Bengaluru, India",06-01-2015,Signature,Food,M,30206,2015,January
5471,"Delhi, India",07-02-2015,Gold,Fuel,F,220520,2015,February
5472,"Ahmedabad, India",28-05-2014,Signature,Entertainment,F,155034,2014,May
5473,"Ahmedabad, India",27-03-2014,Signature,Grocery,F,118490,2014,March
5474,"Ahmedabad, India",26-11-2013,Platinum,Entertainment,F,198752,2013,November
5475,"Greater Mumbai, India",17-09-2014,Gold,Fuel,F,253590,2014,September
5476,"Ahmedabad, India",08-02-2014,Silver,Entertainment,M,10590,2014,February
5477,"Delhi, India",22-01-2014,Gold,Food,F,125162,2014,January
5478,"Bengaluru, India",31-01-2014,Gold,Food,F,189867,2014,January
5479,"Greater Mumbai, India",25-12-2014,Platinum,Food,F,19194,2014,December
5480,"Bengaluru, India",24-05-2015,Platinum,Entertainment,F,35372,2015,May
5481,"Greater Mumbai, India",03-06-2014,Platinum,Fuel,F,55506,2014,June
5482,"Ahmedabad, India",14-02-2014,Silver,Fuel,F,195702,2014,February
5483,"Ahmedabad, India",25-01-2014,Gold,Entertainment,F,251030,2014,January
5484,"Ahmedabad, India",10-03-2014,Silver,Food,F,26647,2014,March
5485,"Delhi, India",25-07-2014,Platinum,Entertainment,M,158973,2014,July
5486,"Ahmedabad, India",12-02-2015,Gold,Food,M,193286,2015,February
5487,"Delhi, India",19-01-2014,Signature,Bills,M,220673,2014,January
5488,"Bengaluru, India",04-05-2014,Gold,Food,F,77839,2014,May
5489,"Greater Mumbai, India",19-02-2015,Platinum,Food,M,119741,2015,February
5490,"Greater Mumbai, India",13-05-2015,Signature,Fuel,F,234689,2015,May
5491,"Delhi, India",22-01-2014,Signature,Entertainment,M,148983,2014,January
5492,"Bengaluru, India",19-03-2014,Signature,Grocery,F,205574,2014,March
5493,"Delhi, India",20-12-2013,Platinum,Grocery,F,207347,2013,December
5494,"Ahmedabad, India",21-10-2014,Gold,Fuel,F,121717,2014,October
5495,"Bengaluru, India",07-10-2013,Gold,Bills,M,152070,2013,October
5496,"Bengaluru, India",05-10-2014,Gold,Food,M,106635,2014,October
5497,"Greater Mumbai, India",14-02-2014,Platinum,Grocery,M,129505,2014,February
5498,"Ahmedabad, India",12-10-2014,Gold,Fuel,M,4473,2014,October
5499,"Delhi, India",04-11-2013,Signature,Entertainment,M,253025,2013,November
5500,"Ahmedabad, India",18-10-2013,Gold,Fuel,F,12595,2013,October
5501,"Delhi, India",09-02-2015,Platinum,Entertainment,M,198327,2015,February
5502,"Bengaluru, India",19-02-2014,Gold,Food,F,34901,2014,February
5503,"Ahmedabad, India",26-04-2014,Gold,Bills,M,261919,2014,April
5504,"Bengaluru, India",10-10-2013,Silver,Grocery,M,291694,2013,October
5505,"Ahmedabad, India",27-09-2014,Platinum,Bills,M,7005,2014,September
5506,"Greater Mumbai, India",09-04-2014,Silver,Fuel,F,250063,2014,April
5507,"Greater Mumbai, India",12-03-2015,Platinum,Bills,F,7651,2015,March
5508,"Ahmedabad, India",24-06-2014,Platinum,Entertainment,M,81687,2014,June
5509,"Bengaluru, India",16-07-2014,Silver,Entertainment,M,193468,2014,July
5510,"Greater Mumbai, India",24-05-2014,Platinum,Grocery,F,246966,2014,May
5511,"Ahmedabad, India",04-12-2014,Silver,Bills,F,231689,2014,December
5512,"Delhi, India",24-01-2015,Silver,Entertainment,M,234732,2015,January
5513,"Delhi, India",10-04-2014,Silver,Entertainment,M,219872,2014,April
5514,"Delhi, India",01-02-2015,Platinum,Food,F,270076,2015,February
5515,"Delhi, India",16-07-2014,Gold,Fuel,F,151781,2014,July
5516,"Ahmedabad, India",26-11-2014,Silver,Food,F,298885,2014,November
5517,"Greater Mumbai, India",18-04-2014,Signature,Bills,F,58875,2014,April
5518,"Greater Mumbai, India",14-04-2014,Signature,Bills,M,22806,2014,April
5519,"Bengaluru, India",10-01-2015,Signature,Fuel,M,29264,2015,January
5520,"Delhi, India",14-04-2015,Platinum,Bills,F,297594,2015,April
5521,"Greater Mumbai, India",30-12-2014,Gold,Bills,M,38496,2014,December
5522,"Ahmedabad, India",22-07-2014,Silver,Food,F,115647,2014,July
5523,"Greater Mumbai, India",15-05-2014,Silver,Food,F,149343,2014,May
5524,"Greater Mumbai, India",09-04-2015,Gold,Fuel,M,270207,2015,April
5525,"Delhi, India",05-05-2014,Platinum,Bills,F,186358,2014,May
5526,"Ahmedabad, India",01-05-2015,Silver,Fuel,M,263095,2015,May
5527,"Delhi, India",05-11-2014,Platinum,Entertainment,F,232431,2014,November
5528,"Delhi, India",18-11-2014,Platinum,Fuel,F,244009,2014,November
5529,"Delhi, India",13-04-2014,Silver,Fuel,F,79325,2014,April
5530,"Bengaluru, India",12-07-2014,Gold,Food,M,293135,2014,July
5531,"Greater Mumbai, India",29-12-2014,Silver,Bills,M,119718,2014,December
5532,"Delhi, India",18-02-2015,Signature,Grocery,M,104974,2015,February
5533,"Greater Mumbai, India",08-09-2014,Signature,Bills,F,75066,2014,September
5534,"Delhi, India",19-05-2015,Signature,Bills,M,188614,2015,May
5535,"Greater Mumbai, India",21-11-2013,Silver,Bills,M,42528,2013,November
5536,"Ahmedabad, India",12-11-2013,Platinum,Entertainment,M,128597,2013,November
5537,"Bengaluru, India",06-05-2014,Signature,Grocery,M,211054,2014,May
5538,"Ahmedabad, India",02-04-2015,Platinum,Food,M,62692,2015,April
5539,"Greater Mumbai, India",11-04-2015,Signature,Fuel,M,269088,2015,April
5540,"Ahmedabad, India",28-11-2013,Platinum,Bills,F,243298,2013,November
5541,"Greater Mumbai, India",25-05-2015,Signature,Fuel,M,7550,2015,May
5542,"Ahmedabad, India",20-01-2015,Signature,Food,F,1265,2015,January
5543,"Bengaluru, India",30-10-2014,Gold,Entertainment,M,151670,2014,October
5544,"Greater Mumbai, India",09-02-2014,Signature,Fuel,M,73379,2014,February
5545,"Bengaluru, India",22-11-2014,Platinum,Fuel,M,252255,2014,November
5546,"Greater Mumbai, India",29-03-2014,Silver,Bills,M,38740,2014,March
5547,"Bengaluru, India",31-08-2014,Platinum,Entertainment,F,110968,2014,August
5548,"Bengaluru, India",26-03-2015,Silver,Entertainment,M,33371,2015,March
5549,"Ahmedabad, India",09-12-2014,Silver,Bills,M,182309,2014,December
5550,"Delhi, India",22-07-2014,Gold,Food,M,112558,2014,July
5551,"Bengaluru, India",02-01-2014,Signature,Grocery,F,299040,2014,January
5552,"Greater Mumbai, India",31-03-2015,Signature,Entertainment,F,159141,2015,March
5553,"Bengaluru, India",20-01-2014,Platinum,Fuel,M,207078,2014,January
5554,"Bengaluru, India",06-01-2015,Signature,Food,M,232635,2015,January
5555,"Delhi, India",04-02-2014,Platinum,Bills,M,144398,2014,February
5556,"Bengaluru, India",31-01-2014,Platinum,Fuel,M,265531,2014,January
5557,"Delhi, India",02-02-2015,Gold,Grocery,F,188143,2015,February
5558,"Ahmedabad, India",28-12-2014,Signature,Entertainment,M,79970,2014,December
5559,"Bengaluru, India",05-01-2014,Gold,Entertainment,M,207831,2014,January
5560,"Bengaluru, India",06-07-2014,Signature,Fuel,M,226486,2014,July
5561,"Greater Mumbai, India",22-12-2013,Silver,Food,M,47247,2013,December
5562,"Ahmedabad, India",15-06-2014,Signature,Food,M,198530,2014,June
5563,"Bengaluru, India",06-09-2014,Signature,Bills,F,88293,2014,September
5564,"Bengaluru, India",03-03-2015,Platinum,Bills,M,257118,2015,March
5565,"Ahmedabad, India",04-05-2014,Platinum,Fuel,F,176991,2014,May
5566,"Delhi, India",06-03-2015,Signature,Fuel,F,15025,2015,March
5567,"Ahmedabad, India",19-11-2013,Platinum,Bills,F,239453,2013,November
5568,"Delhi, India",27-04-2015,Gold,Fuel,F,98236,2015,April
5569,"Delhi, India",23-01-2014,Signature,Fuel,F,144517,2014,January
5570,"Ahmedabad, India",16-05-2014,Gold,Grocery,F,278516,2014,May
5571,"Greater Mumbai, India",11-12-2013,Silver,Bills,M,213719,2013,December
5572,"Ahmedabad, India",16-03-2015,Silver,Grocery,F,167523,2015,March
5573,"Greater Mumbai, India",10-05-2015,Silver,Grocery,F,44230,2015,May
5574,"Ahmedabad, India",23-11-2014,Signature,Bills,M,182212,2014,November
5575,"Greater Mumbai, India",24-09-2014,Silver,Entertainment,M,43419,2014,September
5576,"Ahmedabad, India",06-02-2015,Platinum,Food,F,117563,2015,February
5577,"Bengaluru, India",02-02-2015,Platinum,Fuel,M,114853,2015,February
5578,"Delhi, India",24-02-2015,Silver,Fuel,F,54894,2015,February
5579,"Delhi, India",04-01-2015,Gold,Entertainment,F,93929,2015,January
5580,"Ahmedabad, India",21-03-2014,Signature,Bills,F,161580,2014,March
5581,"Ahmedabad, India",08-11-2013,Platinum,Bills,F,54090,2013,November
5582,"Greater Mumbai, India",24-10-2013,Gold,Food,M,9201,2013,October
5583,"Delhi, India",27-12-2013,Gold,Fuel,M,18133,2013,December
5584,"Ahmedabad, India",07-03-2015,Signature,Bills,F,39007,2015,March
5585,"Bengaluru, India",12-12-2013,Signature,Grocery,M,188819,2013,December
5586,"Bengaluru, India",11-02-2015,Signature,Bills,M,217968,2015,February
5587,"Ahmedabad, India",12-11-2014,Signature,Grocery,M,228427,2014,November
5588,"Delhi, India",12-08-2014,Platinum,Bills,F,154256,2014,August
5589,"Greater Mumbai, India",15-03-2015,Silver,Entertainment,F,254603,2015,March
5590,"Ahmedabad, India",13-08-2014,Signature,Food,F,103568,2014,August
5591,"Delhi, India",06-11-2013,Platinum,Fuel,M,12638,2013,November
5592,"Ahmedabad, India",08-02-2014,Gold,Food,M,4737,2014,February
5593,"Greater Mumbai, India",24-04-2014,Gold,Bills,F,152667,2014,April
5594,"Ahmedabad, India",15-03-2015,Gold,Grocery,M,58143,2015,March
5595,"Bengaluru, India",26-04-2015,Silver,Food,F,173178,2015,April
5596,"Bengaluru, India",11-01-2015,Platinum,Fuel,M,126079,2015,January
5597,"Bengaluru, India",20-03-2014,Silver,Entertainment,M,49976,2014,March
5598,"Greater Mumbai, India",23-10-2013,Signature,Food,F,183818,2013,October
5599,"Ahmedabad, India",18-01-2015,Silver,Grocery,M,202671,2015,January
5600,"Greater Mumbai, India",11-07-2014,Signature,Grocery,M,19014,2014,July
5601,"Greater Mumbai, India",02-04-2014,Platinum,Grocery,F,136271,2014,April
5602,"Greater Mumbai, India",14-05-2015,Platinum,Food,F,61427,2015,May
5603,"Ahmedabad, India",23-03-2014,Gold,Bills,M,226543,2014,March
5604,"Ahmedabad, India",13-02-2014,Silver,Entertainment,F,85013,2014,February
5605,"Ahmedabad, India",25-03-2015,Platinum,Food,F,44844,2015,March
5606,"Greater Mumbai, India",28-01-2014,Silver,Grocery,F,127077,2014,January
5607,"Bengaluru, India",28-12-2013,Gold,Grocery,F,18848,2013,December
5608,"Delhi, India",16-04-2015,Gold,Grocery,F,36672,2015,April
5609,"Bengaluru, India",16-01-2015,Platinum,Food,M,282707,2015,January
5610,"Ahmedabad, India",01-02-2015,Gold,Fuel,M,233207,2015,February
5611,"Delhi, India",18-12-2014,Gold,Bills,M,59017,2014,December
5612,"Delhi, India",24-12-2013,Gold,Food,M,146258,2013,December
5613,"Ahmedabad, India",28-11-2014,Silver,Entertainment,M,56636,2014,November
5614,"Ahmedabad, India",18-04-2014,Signature,Entertainment,F,257567,2014,April
5615,"Ahmedabad, India",27-05-2014,Gold,Food,M,292393,2014,May
5616,"Bengaluru, India",24-11-2013,Gold,Food,F,96794,2013,November
5617,"Bengaluru, India",19-02-2015,Platinum,Grocery,M,100624,2015,February
5618,"Greater Mumbai, India",18-11-2013,Gold,Entertainment,F,192109,2013,November
5619,"Ahmedabad, India",07-10-2014,Platinum,Grocery,M,191123,2014,October
5620,"Ahmedabad, India",13-06-2014,Platinum,Grocery,F,57211,2014,June
5621,"Bengaluru, India",26-03-2015,Gold,Fuel,M,49831,2015,March
5622,"Bengaluru, India",21-02-2014,Signature,Bills,M,212005,2014,February
5623,"Greater Mumbai, India",07-11-2014,Signature,Entertainment,F,51790,2014,November
5624,"Delhi, India",30-07-2014,Signature,Entertainment,F,108940,2014,July
5625,"Bengaluru, India",15-04-2014,Gold,Food,F,102525,2014,April
5626,"Greater Mumbai, India",11-11-2014,Signature,Entertainment,M,134427,2014,November
5627,"Bengaluru, India",09-10-2014,Silver,Bills,F,41516,2014,October
5628,"Bengaluru, India",04-05-2015,Gold,Grocery,F,267301,2015,May
5629,"Ahmedabad, India",03-08-2014,Platinum,Food,F,116820,2014,August
5630,"Delhi, India",19-12-2014,Platinum,Grocery,M,27737,2014,December
5631,"Greater Mumbai, India",05-12-2014,Gold,Fuel,F,209099,2014,December
5632,"Greater Mumbai, India",02-12-2013,Silver,Bills,M,121028,2013,December
5633,"Ahmedabad, India",19-12-2013,Platinum,Food,M,213569,2013,December
5634,"Bengaluru, India",08-12-2013,Signature,Bills,M,90354,2013,December
5635,"Delhi, India",19-07-2014,Platinum,Food,M,147537,2014,July
5636,"Greater Mumbai, India",07-08-2014,Silver,Grocery,M,216726,2014,August
5637,"Bengaluru, India",07-08-2014,Gold,Fuel,F,122681,2014,August
5638,"Bengaluru, India",20-09-2014,Platinum,Entertainment,M,267612,2014,September
5639,"Ahmedabad, India",21-03-2015,Platinum,Food,M,229864,2015,March
5640,"Ahmedabad, India",01-01-2014,Platinum,Fuel,F,24200,2014,January
5641,"Delhi, India",25-05-2014,Gold,Fuel,M,122144,2014,May
5642,"Ahmedabad, India",24-02-2015,Silver,Fuel,M,112789,2015,February
5643,"Bengaluru, India",29-01-2014,Silver,Fuel,F,172814,2014,January
5644,"Bengaluru, India",05-11-2013,Silver,Entertainment,F,246465,2013,November
5645,"Bengaluru, India",22-11-2014,Gold,Food,F,199156,2014,November
5646,"Bengaluru, India",15-09-2014,Silver,Food,F,285661,2014,September
5647,"Greater Mumbai, India",06-08-2014,Gold,Grocery,M,188349,2014,August
5648,"Bengaluru, India",02-12-2014,Platinum,Bills,F,232774,2014,December
5649,"Ahmedabad, India",01-09-2014,Signature,Grocery,M,136601,2014,September
5650,"Delhi, India",14-11-2014,Gold,Grocery,F,119657,2014,November
5651,"Bengaluru, India",06-08-2014,Signature,Fuel,F,64742,2014,August
5652,"Delhi, India",11-10-2013,Platinum,Entertainment,M,44863,2013,October
5653,"Bengaluru, India",27-07-2014,Signature,Fuel,M,39444,2014,July
5654,"Bengaluru, India",13-04-2014,Gold,Entertainment,M,180453,2014,April
5655,"Delhi, India",01-07-2014,Platinum,Entertainment,F,260518,2014,July
5656,"Delhi, India",08-01-2014,Silver,Food,F,100623,2014,January
5657,"Ahmedabad, India",31-08-2014,Platinum,Food,M,278519,2014,August
5658,"Greater Mumbai, India",06-05-2014,Platinum,Entertainment,F,277363,2014,May
5659,"Bengaluru, India",26-05-2015,Signature,Food,M,268608,2015,May
5660,"Ahmedabad, India",09-04-2015,Silver,Entertainment,F,61315,2015,April
5661,"Greater Mumbai, India",16-03-2014,Gold,Entertainment,F,78371,2014,March
5662,"Ahmedabad, India",01-06-2014,Platinum,Grocery,M,252284,2014,June
5663,"Greater Mumbai, India",17-04-2014,Signature,Bills,F,80553,2014,April
5664,"Greater Mumbai, India",10-05-2015,Platinum,Fuel,M,260680,2015,May
5665,"Ahmedabad, India",31-10-2013,Silver,Fuel,M,292832,2013,October
5666,"Bengaluru, India",15-07-2014,Signature,Fuel,F,30808,2014,July
5667,"Ahmedabad, India",05-01-2014,Signature,Entertainment,M,72559,2014,January
5668,"Ahmedabad, India",28-07-2014,Platinum,Grocery,F,67804,2014,July
5669,"Delhi, India",28-12-2013,Platinum,Food,F,230609,2013,December
5670,"Greater Mumbai, India",23-10-2013,Platinum,Entertainment,M,58406,2013,October
5671,"Ahmedabad, India",06-05-2015,Silver,Entertainment,M,208720,2015,May
5672,"Delhi, India",15-02-2014,Gold,Food,M,116407,2014,February
5673,"Greater Mumbai, India",23-03-2014,Platinum,Entertainment,M,214301,2014,March
5674,"Ahmedabad, India",21-07-2014,Platinum,Grocery,M,156919,2014,July
5675,"Delhi, India",08-07-2014,Signature,Fuel,F,192912,2014,July
5676,"Bengaluru, India",17-07-2014,Platinum,Bills,F,12036,2014,July
5677,"Delhi, India",20-09-2014,Platinum,Fuel,M,187757,2014,September
5678,"Greater Mumbai, India",05-01-2014,Platinum,Grocery,F,130139,2014,January
5679,"Delhi, India",27-02-2015,Silver,Food,M,163953,2015,February
5680,"Ahmedabad, India",11-11-2014,Silver,Food,F,215613,2014,November
5681,"Ahmedabad, India",13-03-2015,Signature,Grocery,F,64185,2015,March
5682,"Bengaluru, India",06-02-2015,Gold,Fuel,F,247978,2015,February
5683,"Ahmedabad, India",02-04-2014,Signature,Grocery,F,173006,2014,April
5684,"Greater Mumbai, India",21-12-2013,Platinum,Bills,F,45125,2013,December
5685,"Bengaluru, India",18-01-2015,Gold,Food,M,218973,2015,January
5686,"Bengaluru, India",13-12-2014,Silver,Entertainment,F,222179,2014,December
5687,"Delhi, India",20-11-2014,Gold,Entertainment,F,37579,2014,November
5688,"Greater Mumbai, India",24-03-2015,Platinum,Entertainment,F,29612,2015,March
5689,"Bengaluru, India",12-10-2014,Signature,Fuel,M,109274,2014,October
5690,"Greater Mumbai, India",10-03-2015,Signature,Food,F,205497,2015,March
5691,"Bengaluru, India",27-03-2015,Platinum,Fuel,F,252230,2015,March
5692,"Ahmedabad, India",30-10-2014,Silver,Food,F,54606,2014,October
5693,"Delhi, India",19-04-2015,Signature,Entertainment,M,294363,2015,April
5694,"Ahmedabad, India",28-03-2015,Platinum,Fuel,F,29896,2015,March
5695,"Delhi, India",24-12-2014,Gold,Fuel,F,16609,2014,December
5696,"Delhi, India",23-12-2013,Platinum,Entertainment,M,290008,2013,December
5697,"Ahmedabad, India",13-08-2014,Gold,Grocery,F,230433,2014,August
5698,"Greater Mumbai, India",11-08-2014,Silver,Bills,F,117259,2014,August
5699,"Bengaluru, India",12-03-2015,Gold,Entertainment,F,207417,2015,March
5700,"Greater Mumbai, India",17-01-2015,Signature,Fuel,F,152348,2015,January
5701,"Delhi, India",17-02-2015,Gold,Bills,F,148210,2015,February
5702,"Ahmedabad, India",30-10-2013,Platinum,Grocery,F,219139,2013,October
5703,"Ahmedabad, India",17-03-2015,Platinum,Grocery,M,264515,2015,March
5704,"Greater Mumbai, India",12-10-2014,Platinum,Grocery,M,202187,2014,October
5705,"Greater Mumbai, India",17-02-2015,Signature,Bills,M,253220,2015,February
5706,"Delhi, India",10-10-2013,Platinum,Fuel,F,240018,2013,October
5707,"Greater Mumbai, India",13-07-2014,Silver,Food,M,169103,2014,July
5708,"Delhi, India",27-07-2014,Silver,Entertainment,M,141670,2014,July
5709,"Greater Mumbai, India",29-11-2013,Signature,Grocery,M,146163,2013,November
5710,"Delhi, India",17-02-2015,Gold,Fuel,M,260966,2015,February
5711,"Delhi, India",08-05-2015,Gold,Bills,F,238611,2015,May
5712,"Delhi, India",16-01-2015,Platinum,Bills,M,74810,2015,January
5713,"Ahmedabad, India",18-03-2015,Silver,Food,F,147047,2015,March
5714,"Bengaluru, India",15-07-2014,Signature,Food,M,261637,2014,July
5715,"Greater Mumbai, India",22-01-2015,Silver,Food,M,131323,2015,January
5716,"Delhi, India",05-06-2014,Signature,Food,F,263176,2014,June
5717,"Delhi, India",04-12-2013,Signature,Bills,F,46000,2013,December
5718,"Delhi, India",11-03-2015,Gold,Bills,M,79638,2015,March
5719,"Delhi, India",04-03-2014,Silver,Grocery,F,158421,2014,March
5720,"Ahmedabad, India",07-01-2015,Platinum,Entertainment,F,266375,2015,January
5721,"Greater Mumbai, India",27-09-2014,Gold,Bills,M,182002,2014,September
5722,"Bengaluru, India",11-05-2014,Signature,Food,F,218630,2014,May
5723,"Bengaluru, India",19-10-2013,Silver,Entertainment,F,38908,2013,October
5724,"Ahmedabad, India",09-05-2015,Signature,Bills,M,14029,2015,May
5725,"Greater Mumbai, India",06-12-2013,Gold,Fuel,F,50719,2013,December
5726,"Greater Mumbai, India",24-01-2014,Gold,Entertainment,M,108457,2014,January
5727,"Delhi, India",17-03-2015,Silver,Bills,M,225285,2015,March
5728,"Ahmedabad, India",14-10-2014,Platinum,Bills,F,231493,2014,October
5729,"Greater Mumbai, India",25-04-2014,Silver,Fuel,M,215851,2014,April
5730,"Ahmedabad, India",06-02-2014,Silver,Fuel,F,37311,2014,February
